service_id,date,exception_type
DISSABTES,20180106,2
DISSABTES,20180623,2
DISSABTES,20180922,2
DISSABTES,20181012,1
DISSABTES22H,20181224,1
DISSABTES24H,20180701,1
DISSABTES24H,20181101,1
DISSABTES24H,20181206,1
DISSABTES24H,20181216,1
DISSABTES24H,20181223,1
DISSABTESNONSTOP,20180623,1
DISSABTESNONSTOP,20180922,1
DIUMENGES,20180101,1
DIUMENGES,20180401,2
DIUMENGES,20180402,1
DIUMENGES,20180501,1
DIUMENGES,20180520,2
DIUMENGES,20180521,1
DIUMENGES,20180701,2
DIUMENGES,20180815,1
DIUMENGES,20180911,1
DIUMENGES,20180923,2
DIUMENGES,20180924,1
DIUMENGES,20181216,2
DIUMENGES,20181223,2
DIUMENGES,20181226,1
DIUMENGES2H,20180106,1
DIUMENGES2H,20180330,1
DIUMENGES2H,20180401,1
DIUMENGES2H,20180520,1
DIUMENGES2H,20181225,1
DIUMENGESNONSTOP,20180923,1
DIVENDRES,20180329,1
DIVENDRES,20180330,2
DIVENDRES,20180430,1
DIVENDRES,20180803,2
DIVENDRES,20180810,2
DIVENDRES,20180817,2
DIVENDRES,20180824,2
DIVENDRES,20180831,2
DIVENDRES,20180910,1
DIVENDRES,20180921,2
DIVENDRES,20181011,1
DIVENDRES,20181012,2
DIVENDRES,20181031,1
DIVENDRES,20181205,1
DIVENDRESAGOST,20180803,1
DIVENDRESAGOST,20180810,1
DIVENDRESAGOST,20180814,1
DIVENDRESAGOST,20180817,1
DIVENDRESAGOST,20180824,1
DIVENDRESAGOST,20180831,1
DIVENDRESNONSTOP,20180921,1
DIVENDRESNONSTOP,20181231,1
FEINERS,20180101,2
FEINERS,20180329,2
FEINERS,20180402,2
FEINERS,20180430,2
FEINERS,20180501,2
FEINERS,20180521,2
FEINERS,20180801,2
FEINERS,20180802,2
FEINERS,20180806,2
FEINERS,20180807,2
FEINERS,20180808,2
FEINERS,20180809,2
FEINERS,20180813,2
FEINERS,20180814,2
FEINERS,20180815,2
FEINERS,20180816,2
FEINERS,20180820,2
FEINERS,20180821,2
FEINERS,20180822,2
FEINERS,20180823,2
FEINERS,20180827,2
FEINERS,20180828,2
FEINERS,20180829,2
FEINERS,20180830,2
FEINERS,20180910,2
FEINERS,20180911,2
FEINERS,20180924,2
FEINERS,20181011,2
FEINERS,20181031,2
FEINERS,20181101,2
FEINERS,20181205,2
FEINERS,20181206,2
FEINERS,20181224,2
FEINERS,20181225,2
FEINERS,20181226,2
FEINERS,20181231,2
FEINERSAGOST,20180801,1
FEINERSAGOST,20180802,1
FEINERSAGOST,20180806,1
FEINERSAGOST,20180807,1
FEINERSAGOST,20180808,1
FEINERSAGOST,20180809,1
FEINERSAGOST,20180813,1
FEINERSAGOST,20180816,1
FEINERSAGOST,20180820,1
FEINERSAGOST,20180821,1
FEINERSAGOST,20180822,1
FEINERSAGOST,20180823,1
FEINERSAGOST,20180827,1
FEINERSAGOST,20180828,1
FEINERSAGOST,20180829,1
FEINERSAGOST,20180830,1
